Date,Statut,Aeroport_Depart,Code_IATA_Depart,Retard_Depart,Aeroport_Arrivee,Code_IATA_Arrivee,Retard_Arrivee,Compagnie,Numero_Vol,Code_IATA_Vol,Anomalie_ISO,Anomalie_DBSCAN,Anomalie_Final
2025-03-15,2,Guangzhou Baiyun International,CAN,30,Suvarnabhumi International,BKK,1,China Eastern Airlines,251.0,MU251,1,0,1
2025-03-15,2,Taiwan Taoyuan International (Chiang Kai Shek International),TPE,7,Ninoy Aquino International,MNL,0,AirAsia,129.0,AK129,1,0,1
2025-03-15,2,Taiwan Taoyuan International (Chiang Kai Shek International),TPE,15,Daegu,TAE,0,T'Way Air,664.0,TW664,1,0,1
2025-03-15,2,Taiwan Taoyuan International (Chiang Kai Shek International),TPE,27,Daegu,TAE,10,Jin Air,756.0,LJ756,1,0,1
2025-03-15,2,Francisco Bangoy International,DVO,1,Ninoy Aquino International,MNL,0,Philippine Airlines,2808.0,PR2808,1,0,1
2025-03-15,2,Francisco Bangoy International,DVO,1,Ninoy Aquino International,MNL,0,Malaysia Airlines,5526.0,MH5526,1,0,1
2025-03-15,2,Francisco Bangoy International,DVO,1,Ninoy Aquino International,MNL,0,China Airlines,8914.0,CI8914,1,0,1
2025-03-15,2,Tauranga,TRG,4,Wellington International,WLG,0,Air New Zealand,5251.0,NZ5251,1,0,1
2025-03-15,2,Tauranga,TRG,15,Auckland International,AKL,3,Air New Zealand,5144.0,NZ5144,1,0,1
2025-03-15,2,Lishe International Airport,NGB,2,Guangzhou Baiyun International,CAN,10,SF Airlines,7267.0,O37267,1,0,1
2025-03-15,2,Yiwu,YIW,15,Ninoy Aquino International,MNL,13,China Postal Airlines,213.0,CF213,1,0,1
2025-03-15,2,Gisborne,GIS,7,Auckland International,AKL,0,Singapore Airlines,4386.0,SQ4386,1,0,1
2025-03-15,2,Gisborne,GIS,7,Auckland International,AKL,0,Air New Zealand,5160.0,NZ5160,1,0,1
2025-03-15,2,Gisborne,GIS,10,Wellington International,WLG,10,Air New Zealand,5507.0,NZ5507,1,0,1
2025-03-15,2,Woodbourne Air Station,BHE,1,Auckland International,AKL,0,Air New Zealand,5208.0,NZ5208,1,0,1
