Date,Statut,Aeroport_Depart,Code_IATA_Depart,Retard_Depart,Aeroport_Arrivee,Code_IATA_Arrivee,Retard_Arrivee,Compagnie,Numero_Vol,Code_IATA_Vol
2025-03-15,landed,Christchurch International,CHC,1.0,Wellington International,WLG,,Air New Zealand,5332,NZ5332
2025-03-15,landed,Christchurch International,CHC,1.0,Wellington International,WLG,,Etihad Airways,4560,EY4560
2025-03-15,landed,Christchurch International,CHC,5.0,Auckland International,AKL,,Air New Zealand,584,NZ584
2025-03-15,landed,Christchurch International,CHC,5.0,Auckland International,AKL,,Turkish Airlines,8752,TK8752
2025-03-15,landed,Christchurch International,CHC,5.0,Auckland International,AKL,,Asiana Airlines,6548,OZ6548
2025-03-15,landed,Christchurch International,CHC,5.0,Auckland International,AKL,,ANA,7955,NH7955
2025-03-15,landed,Christchurch International,CHC,5.0,Auckland International,AKL,,Etihad Airways,4497,EY4497
2025-03-15,landed,Christchurch International,CHC,5.0,Auckland International,AKL,,EVA Air,3260,BR3260
2025-03-15,landed,Christchurch International,CHC,3.0,Wellington International,WLG,,Jetstar,288,JQ288
2025-03-15,landed,Christchurch International,CHC,3.0,Wellington International,WLG,,Qantas,5813,QF5813
2025-03-15,landed,Christchurch International,CHC,3.0,Wellington International,WLG,,Fiji Airways,5554,FJ5554
2025-03-15,landed,Christchurch International,CHC,48.0,Auckland International,AKL,34.0,Jetstar,226,JQ226
2025-03-15,landed,Christchurch International,CHC,48.0,Auckland International,AKL,34.0,Qantas,5593,QF5593
2025-03-15,landed,Christchurch International,CHC,48.0,Auckland International,AKL,34.0,Fiji Airways,5512,FJ5512
2025-03-15,landed,Christchurch International,CHC,48.0,Auckland International,AKL,34.0,Emirates,7486,EK7486
2025-03-15,landed,Christchurch International,CHC,48.0,Auckland International,AKL,34.0,American Airlines,9037,AA9037
2025-03-15,landed,Zhengzhou,CGO,,Nanjing Lukou International Airport,NKG,,China Postal Airlines,9091,CF9091
2025-03-15,landed,Chongqing Jiangbei International,CKG,,Nanjing Lukou International Airport,NKG,,China Postal Airlines,9057,CF9057
2025-03-15,landed,Hangzhou,HGH,23.0,Shenzhen,SZX,20.0,SF Airlines,7223,O37223
2025-03-15,landed,Kunming,KMG,,Nanjing Lukou International Airport,NKG,,China Postal Airlines,9017,CF9017
2025-03-15,landed,Shenzhen,SZX,36.0,Beijing Capital International,PEK,13.0,SF Airlines,6811,O36811
2025-03-15,landed,Chu-Bu Centrair International (Central Japan International),NGO,,Seoul (Incheon),ICN,,Japan Airlines,6749,JL6749
2025-03-15,landed,Noibai International,HAN,9.0,Ninoy Aquino International,MNL,,Vietnam Airlines,647,VN647
2025-03-15,landed,Mactan-Cebu International,CEB,16.0,Ninoy Aquino International,MNL,,Cebu Pacific Air,6512,5J6512
2025-03-15,landed,Hawkes Bay,NPE,5.0,Auckland International,AKL,,Air New Zealand,5006,NZ5006
2025-03-15,landed,Hawkes Bay,NPE,,Christchurch International,CHC,,Air New Zealand,5771,NZ5771
2025-03-15,landed,Hawkes Bay,NPE,,Christchurch International,CHC,,Singapore Airlines,4517,SQ4517
2025-03-15,landed,Sydney Kingsford Smith Airport,SYD,23.0,Canberra,CBR,25.0,empty,,
2025-03-15,landed,Taiyuan,TYN,,Nanjing Lukou International Airport,NKG,,China Postal Airlines,9069,CF9069
2025-03-15,landed,Auckland International,AKL,6.0,Christchurch International,CHC,,Emirates,7525,EK7525
2025-03-15,landed,Seoul (Incheon),ICN,28.0,Shanghai Pudong International,PVG,10.0,Korean Air,249,KE249
2025-03-15,landed,Seoul (Incheon),ICN,11.0,Hong Kong International,HKG,,Atlas Air,8579,5Y8579
2025-03-15,landed,Seoul (Incheon),ICN,,Ninoy Aquino International,MNL,,Cebu Pacific Air,187,5J187
2025-03-15,landed,Beijing Capital International,PEK,14.0,Seoul (Incheon),ICN,,Korean Air,854,KE854
2025-03-15,landed,Dubbo,DBO,4.0,Sydney Kingsford Smith Airport,SYD,,Rex Regional Express,6821,ZL6821
2025-03-15,landed,Nelson,NSN,10.0,Auckland International,AKL,,Singapore Airlines,4410,SQ4410
2025-03-15,landed,Nelson,NSN,10.0,Auckland International,AKL,,Air New Zealand,5062,NZ5062
2025-03-15,landed,Nelson,NSN,10.0,Wellington International,WLG,,Air New Zealand,5300,NZ5300
2025-03-15,landed,Shenzhen,SZX,42.0,Hangzhou,HGH,15.0,SF Airlines,7224,O37224
2025-03-15,landed,Shenzhen,SZX,,Hangzhou,HGH,,JDL Airlines,2619,JG2619
2025-03-15,landed,Shenzhen,SZX,,Jinjiang,JJN,,SF Airlines,6847,O36847
2025-03-15,landed,Wellington International,WLG,9.0,Auckland International,AKL,,Air New Zealand,402,NZ402
2025-03-15,landed,Wellington International,WLG,9.0,Auckland International,AKL,,Turkish Airlines,8746,TK8746
2025-03-15,landed,Wellington International,WLG,9.0,Auckland International,AKL,,Singapore Airlines,4293,SQ4293
2025-03-15,landed,Wellington International,WLG,9.0,Auckland International,AKL,,Qantas,8534,QF8534
2025-03-15,landed,Wellington International,WLG,9.0,Auckland International,AKL,,Asiana Airlines,6558,OZ6558
